instruction,input,output
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","API server on 9000: user (name, email), bookmark (title, url)","use rest
listen 9000
model user name email
model bookmark title url
GET /users list user
POST /users create user
GET /bookmarks list bookmark
POST /bookmarks create bookmark"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I need a website on port 9999 with /hello returning ""hi!""; a /health page with ""alive""; /about that shows ""built with el-stupido""; a /api page with ""api v1""","use web
listen 9999
/hello ""hi!""
/health ""alive""
/about ""built with el-stupido""
/api ""api v1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","website on 8000: /status showing ""healthy"", plus manage comments with author and body+","use web
listen 8000
/status ""healthy""
crud comment author body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","set up a lightweight HTTP server bound to port 8000 with the following pages: ""hey there"" at /hello","use web
listen 8000
/hello ""hey there"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","expose an endpoint on port 5000 with a /hello page with ""hey there""","use web
listen 5000
/hello ""hey there"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please API server on 8000: item (name, desc, price), event (name, date, location)","use rest
listen 8000
model item name desc price
model event name date location
GET /items list item
POST /items create item
GET /events list event
POST /events create event"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build me a post CRUD on port 8888 (author and content+),"use web
listen 8888
crud post author content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want to manage guestbooks with name and msg+ fields, serve on 8000","use web
listen 8000
crud guestbook name msg+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","HTTP server on 80 with pages / showing ""hello world"", /hello showing ""hello!"" and CRUD for notes (name and content+) please","use web
listen 80
/ ""hello world""
/hello ""hello!""
crud note name content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please develop a sort utility for sorting lines of text,"use cli
name ""sort""
desc ""sort lines of text""
flag numeric -n ""numeric sort""
flag unique -u ""unique lines only""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",quickly develop a sort utility for sorting lines of text,"use cli
name ""sort""
desc ""sort lines of text""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please simple message app at port 9999 with sender and body+ fields,"use web
listen 9999
crud message sender body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",set up a post form on port 9999 that saves title and body+,"use web
listen 9999
crud post title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, I want a web server on port 80 with /hello returning ""hey there""; /api that shows ""json api""","use web
listen 80
/hello ""hey there""
/api ""json api"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","guestbook app, port 9000, store author and text+ please","use web
listen 9000
crud guestbook author text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","give me a json api to manage products on port 8080, fields: name, price","use rest
listen 8080
model product name price
GET /products list product
POST /products create product"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, please build a CLI program named cat for concatenate files","use cli
name ""cat""
desc ""concatenate files""
flag number -n ""number lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I need a note tracker on port 5000 with title and body+,"use web
listen 5000
crud note title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 5000 that has /about showing ""a tiny web server"" and a post manager (author and content+)","use web
listen 5000
/about ""a tiny web server""
crud post author content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","website on 9000: /hello showing ""hello world"" and /status showing ""up"", plus manage guestbooks with author and text+","use web
listen 9000
/hello ""hello world""
/status ""up""
crud guestbook author text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Set up a lightweight HTTP server bound to port 5000 with the following pages: /version saying ""0.0.1"", /api that shows ""rest endpoint"", a /status page with ""up"", a / page with ""welcome!""","use web
listen 5000
/version ""0.0.1""
/api ""rest endpoint""
/status ""up""
/ ""welcome!"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","start a web server on 8080 that has /api saying ""rest endpoint"" plus /hello returning ""hey there""","use web
listen 8080
/api ""rest endpoint""
/hello ""hey there"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please I need a terminal tool called calc to simple calculator,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly api 4000 todo title, done","use rest
listen 4000
model todo title done
GET /todos list todo
POST /todos create todo"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Create a command-line tool named wc for counting words in files,"use cli
name ""wc""
desc ""count words in files""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you make a REST API on port 3000 for tasks with title, status, priority","use rest
listen 3000
model task title status priority
GET /tasks list task
POST /tasks create task
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Cli serve for serving static files,"use cli
name ""serve""
desc ""serve static files""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","create an http server listening on 8888 that serves ""ok"" at /status, a / page with ""hello world"", /hello returning ""hello!"", /version saying ""1.0.0""","use web
listen 8888
/status ""ok""
/ ""hello world""
/hello ""hello!""
/version ""1.0.0"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly api 5000 comment user, text","use rest
listen 5000
model comment user text
GET /comments list comment
POST /comments create comment"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly create a RESTful web service on port 5000 that manages task resources with fields title, status, priority","use rest
listen 5000
model task title status priority
GET /tasks list task
POST /tasks create task
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, web server on port 5000 with /status showing ""running"" plus /hello showing ""hey there"" and a message CRUD with sender and body+","use web
listen 5000
/status ""running""
/hello ""hey there""
crud message sender body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, can you make a REST API on port 5000 for notes with title, content","use rest
listen 5000
model note title content
GET /notes list note
POST /notes create note"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly I'm looking for a simple web server that listens on port 80 and serves /about that shows ""about us"", a /version page with ""1.0.0""","use web
listen 80
/about ""about us""
/version ""1.0.0"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",make a CLI tool called cat that concatenate files please,"use cli
name ""cat""
desc ""concatenate files""
flag number -n ""number lines""
flag blank -b ""skip blank lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, create a CRUD app for entrys with key/value, port 80","use web
listen 80
crud entry key value"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",ping command that checking host availability,"use cli
name ""ping""
desc ""check host availability""
arg host ""hostname or IP"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want a REST endpoint for comments at port 443 with user, text","use rest
listen 443
model comment user text
GET /comments list comment
POST /comments create comment
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",command-line calc tool for simple calculator please,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","data entry app for messages (sender, body+) on port 8080","use web
listen 8080
crud message sender body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","http 443: / saying ""greetings""","use web
listen 443
/ ""greetings"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please backend for users on 8000 with username, email, role","use rest
listen 8000
model user username email role
GET /users list user
POST /users create user"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, web server on port 9999 with /about showing ""about us"" and a task CRUD with name and priority","use web
listen 9999
/about ""about us""
crud task name priority"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","spin up an HTTP server on port 9999 with ""1.0.0"" at /version, /status saying ""ok"", /about that shows ""el-stupido web server"" and /health returning ""alive""","use web
listen 9999
/version ""1.0.0""
/status ""ok""
/about ""el-stupido web server""
/health ""alive"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",quickly console app called cat for concatenate files,"use cli
name ""cat""
desc ""concatenate files""
flag blank -b ""skip blank lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","rest post title, body, author on 9090","use rest
listen 9090
model post title body author
GET /posts list post
POST /posts create post
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please build a CLI program named serve for serving static files,"use cli
name ""serve""
desc ""serve static files""
flag verbose -v ""enable logging""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly build a backend service on port 3000 with a todo model having title, done fields","use rest
listen 3000
model todo title done
GET /todos list todo
POST /todos create todo
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please persistent note app on 8080 with name and content+,"use web
listen 8080
crud note name content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","multi-model API on port 9999: product (name, price) + todo (title, done)","use rest
listen 9999
model product name price
model todo title done
GET /products list product
POST /products create product
GET /todos list todo
POST /todos create todo"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","i need a entry tracker on port 9090 with key, value","use web
listen 9090
crud entry key value"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a simple HTTP server on 8888 serving /health that shows ""healthy"" and ""running"" at /status","use web
listen 8888
/health ""healthy""
/status ""running"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'm looking for a simple web server that listens on port 8888 and serves /about that shows ""about us"", /health that shows ""ok"" and ""0.0.1"" at /version","use web
listen 8888
/about ""about us""
/health ""ok""
/version ""0.0.1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please web server on port 80 with /api showing ""json api"" plus /about showing ""about page"" and a message CRUD with from and text+","use web
listen 80
/api ""json api""
/about ""about page""
crud message from text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, create a bookmark database app at port 3000 storing title and url","use web
listen 3000
crud bookmark title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly REST API on port 9000 with posts (title, body, author) and bookmarks (title, url)","use rest
listen 9000
model post title body author
model bookmark title url
GET /posts list post
POST /posts create post
GET /bookmarks list bookmark
POST /bookmarks create bookmark
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",make me a serve utility that serving static files,"use cli
name ""serve""
desc ""serve static files""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","data service for users at port 9999, name, email","use rest
listen 9999
model user name email
GET /users list user
POST /users create user"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a JSON REST API running on port 9090 for CRUD operations on bookmarks with title, url","use rest
listen 9090
model bookmark title url
GET /bookmarks list bookmark
POST /bookmarks create bookmark"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please give me a JSON API to manage users on port 9999, fields: name, email","use rest
listen 9999
model user name email
GET /users list user
POST /users create user"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, microservice on port 5000 for events (name, date, location)","use rest
listen 5000
model event name date location
GET /events list event
POST /events create event
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","give me a web server at port 8000 that has ""greetings"" at /, /version that shows ""0.0.1""","use web
listen 8000
/ ""greetings""
/version ""0.0.1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, note app, port 8888, store name, content+","use web
listen 8888
crud note name content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","HTTP server on port 80 with pages: / returning ""it works!"", /about saying ""about us"", a /hello page with ""hello world"" and a /health page with ""healthy""","use web
listen 80
/ ""it works!""
/about ""about us""
/hello ""hello world""
/health ""healthy"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Create a command-line tool named find for finding files by name,"use cli
name ""find""
desc ""find files by name""
flag hidden -h ""include hidden files""
flag recursive -r ""search recursively""
arg pattern ""file pattern""
arg dir ""directory to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",simple bookmark app at port 8080 with title/url fields,"use web
listen 8080
crud bookmark title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 443 that has / showing ""hello from el-stupido!"" and a comment manager (author and body+) please","use web
listen 443
/ ""hello from el-stupido!""
crud comment author body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I need a website on port 9999 with /status returning ""running""; /health saying ""ok""; /about returning ""a tiny web server""","use web
listen 9999
/status ""running""
/health ""ok""
/about ""a tiny web server"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly HTTP server on 5000 with pages /about showing ""about this server""; /version showing ""v1.0"" and CRUD for links (title and url)","use web
listen 5000
/about ""about this server""
/version ""v1.0""
crud link title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a simple HTTP server on 4000 serving /status that shows ""up"", a /api page with ""rest endpoint""","use web
listen 4000
/status ""up""
/api ""rest endpoint"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",hash tool: compute file hash,"use cli
name ""hash""
desc ""compute file hash""
flag md5 -m ""use md5""
arg file ""file to hash"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","launch a web server at 3000 that responds with /status that shows ""all systems go"", /hello saying ""hi!"", plus ""api v1"" at /api","use web
listen 3000
/status ""all systems go""
/hello ""hi!""
/api ""api v1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a JSON REST API running on port 8000 for CRUD operations on messages with from, to, body please","use rest
listen 8000
model message from to body
GET /messages list message
POST /messages create message
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, cli sort for sorting lines of text","use cli
name ""sort""
desc ""sort lines of text""
flag reverse -r ""reverse sort""
flag numeric -n ""numeric sort""
flag unique -u ""unique lines only""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",backend on port 9999 for notes and posts with their fields,"use rest
listen 9999
model note title content
model post title body author
GET /notes list note
POST /notes create note
GET /posts list post
POST /posts create post
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please web server on port 4000 with /health showing ""ok"" and a link CRUD with title and url","use web
listen 4000
/health ""ok""
crud link title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please console app called serve for serving static files,"use cli
name ""serve""
desc ""serve static files""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",make a CLI tool called head that show first lines please,"use cli
name ""head""
desc ""show first lines""
flag quiet -q ""suppress headers""
arg count ""number of lines""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",simple post app at port 3000 with author and content+ fields,"use web
listen 3000
crud post author content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",quickly grep command that searching files for patterns,"use cli
name ""grep""
desc ""search files for patterns""
flag verbose -v ""enable verbose output""
flag count -c ""show count only""
arg pattern ""regex pattern""
arg file ""file to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server, port 9000, ""hello from el-stupido!"" at /","use web
listen 9000
/ ""hello from el-stupido!"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you make a server on port 9999 with /about that shows ""a tiny web server"", /version saying ""v1.0"", /status that shows ""ok"", plus /health saying ""ok"" please","use web
listen 9999
/about ""a tiny web server""
/version ""v1.0""
/status ""ok""
/health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly website on 8888: /api showing ""api v1"" plus /version showing ""v0.1"", plus manage messages with sender and body+","use web
listen 8888
/api ""api v1""
/version ""v0.1""
crud message sender body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","make a web server on port 5000 with /about that shows ""about us"" and /health that shows ""up""","use web
listen 5000
/about ""about us""
/health ""up"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web 8000 a /about page with ""about us"", a / page with ""index"" please","use web
listen 8000
/about ""about us""
/ ""index"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",quickly make me a calc utility that simple calculator,"use cli
name ""calc""
desc ""simple calculator""
flag verbose -v ""show steps""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","HTTP server on 9090 with pages /api showing ""json api"" and /status showing ""running"" and CRUD for tasks (name and priority)","use web
listen 9090
/api ""json api""
/status ""running""
crud task name priority"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Multi-model API on port 9999: user (username, email, role) + note (title, content)","use rest
listen 9999
model user username email role
model note title content
GET /users list user
POST /users create user
GET /notes list note
POST /notes create note
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server on port 8000 with /about showing ""a tiny web server"" and a todo crud with title and done","use web
listen 8000
/about ""a tiny web server""
crud todo title done"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please create a basic website running on port 5000 that displays /api that shows ""rest endpoint""","use web
listen 5000
/api ""rest endpoint"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please write a command-line application named cat whose purpose is to concatenate files,"use cli
name ""cat""
desc ""concatenate files""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",cli ping for checking host availability,"use cli
name ""ping""
desc ""check host availability""
flag count -c ""ping count""
flag verbose -v ""show details""
arg host ""hostname or IP"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please HTTP server on 8888 with pages / showing ""main page"" and /api showing ""rest endpoint"" and CRUD for bookmarks (title and url)","use web
listen 8888
/ ""main page""
/api ""rest endpoint""
crud bookmark title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please create a basic website running on port 443 that displays /status returning ""healthy"", ""up"" at /health, /version returning ""0.0.1""","use web
listen 443
/status ""healthy""
/health ""up""
/version ""0.0.1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","server on port 80 with / showing ""it works!"" and task tracking (name and priority)","use web
listen 80
/ ""it works!""
crud task name priority"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Data entry app for todos (title/done) on port 9999,"use web
listen 9999
crud todo title done"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",console app called hash for computing file hash please,"use cli
name ""hash""
desc ""compute file hash""
flag sha256 -s ""use sha256""
flag md5 -m ""use md5""
arg file ""file to hash"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I need a note tracker on port 9000 with name, content+","use web
listen 9000
crud note name content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Build me a guestbook CRUD on port 5000 (author and text+),"use web
listen 5000
crud guestbook author text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","User app, port 9999, store name and email","use web
listen 9999
crud user name email"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a backend service on port 8080 with a bookmark model having title, url fields","use rest
listen 8080
model bookmark title url
GET /bookmarks list bookmark
POST /bookmarks create bookmark
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","create a RESTful web service on port 8888 that manages bookmark resources with fields title, url","use rest
listen 8888
model bookmark title url
GET /bookmarks list bookmark
POST /bookmarks create bookmark"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want a REST endpoint for events at port 5000 with name, date, location","use rest
listen 5000
model event name date location
GET /events list event
POST /events create event"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","create a REST service on port 5000 that handles products with name, price and comments with user, text","use rest
listen 5000
model product name price
model comment user text
GET /products list product
POST /products create product
GET /comments list comment
POST /comments create comment"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please I need a todo tracker on port 9090 with title and done,"use web
listen 9090
crud todo title done"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, create a REST service on port 8888 that handles events with name, date, location and comments with user, text","use rest
listen 8888
model event name date location
model comment user text
GET /events list event
POST /events create event
GET /comments list comment
POST /comments create comment"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",develop a wc utility for counting words in files,"use cli
name ""wc""
desc ""count words in files""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly please set up an HTTP API on port 8888 that stores and retrieves todos with title, done","use rest
listen 8888
model todo title done
GET /todos list todo
POST /todos create todo"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a todo app with fields task, status on port 8888","use web
listen 8888
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web app for managing bookmarks on port 5000 with title, url","use web
listen 5000
crud bookmark title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server on port 9000 with /hello showing ""hi!"" plus /api showing ""api v1"" and a message CRUD with from and text+","use web
listen 9000
/hello ""hi!""
/api ""api v1""
crud message from text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","stand up an HTTP listener on 9000 serving /about that shows ""a tiny web server"", a /hello page with ""hello world"", / saying ""greetings"", ""api v1"" at /api please","use web
listen 9000
/about ""a tiny web server""
/hello ""hello world""
/ ""greetings""
/api ""api v1"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","server on port 5000 with /about showing ""about us"" and entry tracking (title and body+)","use web
listen 5000
/about ""about us""
crud entry title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",write a command-line application named find whose purpose is to find files by name,"use cli
name ""find""
desc ""find files by name""
flag recursive -r ""search recursively""
flag hidden -h ""include hidden files""
arg pattern ""file pattern""
arg dir ""directory to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","set up a rest service at 8000 for notes: title, content","use rest
listen 8000
model note title content
GET /notes list note
POST /notes create note
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",quickly I need a item tracker on port 9999 with name and price,"use web
listen 9999
crud item name price"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, give me a web server at port 9000 that has ""hi there"" at /","use web
listen 9000
/ ""hi there"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, I need an API for items on port 9090 with name, desc, price","use rest
listen 9090
model item name desc price
GET /items list item
POST /items create item
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","server on port 80 with /api showing ""rest endpoint"" and link tracking (name and href)","use web
listen 80
/api ""rest endpoint""
crud link name href"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you make a server on port 9999 with ""about us"" at /about; / that shows ""home page""; /version returning ""v0.1""; a /api page with ""json api""","use web
listen 9999
/about ""about us""
/ ""home page""
/version ""v0.1""
/api ""json api"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","microservice on port 443 for todos (title, done)","use rest
listen 443
model todo title done
GET /todos list todo
POST /todos create todo"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web 9090 a /hello page with ""hello world"" please","use web
listen 9090
/hello ""hello world"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","multi-model API on port 8080: message (from, to, body) + product (name, price) please","use rest
listen 8080
model message from to body
model product name price
GET /messages list message
POST /messages create message
GET /products list product
POST /products create product"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, find command that finding files by name","use cli
name ""find""
desc ""find files by name""
flag hidden -h ""include hidden files""
flag recursive -r ""search recursively""
arg pattern ""file pattern""
arg dir ""directory to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",CRUD for item on port 9000: title and desc,"use web
listen 9000
crud item title desc"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",make a CLI tool called head that show first lines,"use cli
name ""head""
desc ""show first lines""
arg count ""number of lines""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",give me a cli calc that simple calculator,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a simple HTTP server on 9000 serving /health returning ""up""","use web
listen 9000
/health ""up"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","api server on 8000: task (title, status, priority), user (username, email, role)","use rest
listen 8000
model task title status priority
model user username email role
GET /tasks list task
POST /tasks create task
GET /users list user
POST /users create user"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","HTTP server on port 9000 with pages: /version that shows ""0.0.1""; ""hello world"" at /","use web
listen 9000
/version ""0.0.1""
/ ""hello world"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","HTTP server on 8080 with pages /health showing ""up"", /version showing ""v0.1"" and CRUD for todos (title and done)","use web
listen 8080
/health ""up""
/version ""v0.1""
crud todo title done"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'm looking for a simple web server that listens on port 80 and serves ""alive"" at /health","use web
listen 80
/health ""alive"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build me a comment CRUD on port 3000 (author and body+),"use web
listen 3000
crud comment author body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you make a server on port 4000 with /hello that shows ""hello!""; /about saying ""a tiny web server""; ""rest endpoint"" at /api please","use web
listen 4000
/hello ""hello!""
/about ""a tiny web server""
/api ""rest endpoint"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","rest message from, to, body on 9000","use rest
listen 9000
model message from to body
GET /messages list message
POST /messages create message
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I'd like a terminal utility called calc that can simple calculator please,"use cli
name ""calc""
desc ""simple calculator""
flag verbose -v ""show steps""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly I want a web server on port 9090 with ""about this server"" at /about","use web
listen 9090
/about ""about this server"""
